id,nenshu,"name",rating,rating_count,"daily_hours_worked","created_at","updated_at"
2349,413,"トランスコスモス株式会社",67,3826,"9-10","2016-11-08 23:17:32","2016-11-08 23:17:32"
2350,831,"日本アイ・ビー・エム株式会社",74,3362,"9-10","2016-11-08 23:17:32","2016-11-08 23:17:32"
2351,512,"株式会社ベルシステム２４",70,2290,"9-10","2016-11-08 23:17:32","2016-11-08 23:17:32"
2352,556,"ソフトバンク株式会社",74,2235,"9-10","2016-11-08 23:17:32","2016-11-08 23:17:32"
2353,775,"日本ヒューレット・パッカード株式会社",73,1807,"9-10","2016-11-08 23:17:32","2016-11-08 23:17:32"
2354,630,"ＫＤＤＩ株式会社",71,1581,"9-10","2016-11-08 23:17:32","2016-11-08 23:17:32"
2355,569,"ＴＩＳ株式会社",69,1021,"9-10","2016-11-08 23:17:32","2016-11-08 23:17:32"
2356,596,"楽天株式会社",78,879,"10-11","2016-11-08 23:17:32","2016-11-08 23:17:32"
2357,749,"アクセンチュア株式会社",82,856,"10-11","2016-11-08 23:17:32","2016-11-08 23:17:32"
2358,695,"エヌ・ティ・ティ・コミュニケーションズ株式会社（NTTコミュニケーションズ）",74,784,"9-10","2016-11-08 23:17:32","2016-11-08 23:17:32"
2359,578,"株式会社日立ソリューションズ",70,757,"9-10","2016-11-08 23:17:33","2016-11-08 23:17:33"
2360,561,"ヤフー株式会社",75,755,"9-10","2016-11-08 23:17:33","2016-11-08 23:17:33"
2361,554,"ソフトバンクBB株式会社",74,650,"9-10","2016-11-08 23:17:33","2016-11-08 23:17:33"
2362,651,"アマゾン ジャパン合同会社",73,647,"9-10","2016-11-08 23:17:33","2016-11-08 23:17:33"
2363,611,"株式会社NTTドコモ",72,646,"8-9","2016-11-08 23:17:33","2016-11-08 23:17:33"
2364,814,"日本オラクル株式会社",75,627,"9-10","2016-11-08 23:17:33","2016-11-08 23:17:33"
2365,883,"日本マイクロソフト株式会社",78,622,"9-10","2016-11-08 23:17:33","2016-11-08 23:17:33"
2366,414,"株式会社テクノプロ",61,615,"9-10","2016-11-08 23:17:33","2016-11-08 23:17:33"
2367,606,"株式会社エヌ・ティ・ティ・データ",74,599,"9-10","2016-11-08 23:17:33","2016-11-08 23:17:33"
2368,495,"株式会社ぐるなび",70,575,"10-11","2016-11-08 23:17:33","2016-11-08 23:17:33"
2369,475,"株式会社エヌ・ティ・ティ・ソルコ",63,548,"8-9","2016-11-08 23:17:35","2016-11-08 23:17:35"
2370,474,"株式会社ティーガイア",72,502,"9-10","2016-11-08 23:17:35","2016-11-08 23:17:35"
2371,599,"株式会社ワークスアプリケーションズ",76,468,"10-11","2016-11-08 23:17:35","2016-11-08 23:17:35"
2372,591,"株式会社リクルートコミュニケーションズ",87,414,"9-10","2016-11-08 23:17:35","2016-11-08 23:17:35"
2373,624,"Apple Japan",76,412,"8-9","2016-11-08 23:17:35","2016-11-08 23:17:35"
2374,384,"ヒューマンリソシア株式会社",66,400,"9-10","2016-11-08 23:17:35","2016-11-08 23:17:35"
2375,350,"ＢＢコール株式会社",72,370,"8-9","2016-11-08 23:17:35","2016-11-08 23:17:35"
2376,909,"シスコシステムズ合同会社",83,357,"9-10","2016-11-08 23:17:35","2016-11-08 23:17:35"
2377,550,"株式会社ＮＴＴ東日本－北海道",68,343,"8-9","2016-11-08 23:17:35","2016-11-08 23:17:35"
2378,697,"伊藤忠テクノソリューションズ株式会社（CTC）",72,340,"9-10","2016-11-08 23:17:35","2016-11-08 23:17:35"
2379,372,"株式会社かんでんＣＳフォーラム",73,336,"9-10","2016-11-08 23:17:36","2016-11-08 23:17:36"
2380,317,"株式会社エヌ・ティ・ティマーケティングアクト",61,336,"8-9","2016-11-08 23:17:36","2016-11-08 23:17:36"
2381,509,"ビーウィズ株式会社",71,328,"9-10","2016-11-08 23:17:36","2016-11-08 23:17:36"
2382,365,"株式会社ワールドインテック",64,328,"9-10","2016-11-08 23:17:36","2016-11-08 23:17:36"
2383,537,"株式会社サイバーエージェント",79,322,"10-11","2016-11-08 23:17:36","2016-11-08 23:17:36"
2384,672,"西日本電信電話株式会社",65,319,"8-9","2016-11-08 23:17:36","2016-11-08 23:17:36"
2385,470,"株式会社TMJ",69,318,"9-10","2016-11-08 23:17:36","2016-11-08 23:17:36"
2386,355,"株式会社パイオン",72,313,"9-10","2016-11-08 23:17:36","2016-11-08 23:17:36"
2387,439,"ドコモ・サポート株式会社",68,289,"8-9","2016-11-08 23:17:36","2016-11-08 23:17:36"
2388,637,"東日本電信電話株式会社（NTT東日本）",73,285,"9-10","2016-11-08 23:17:36","2016-11-08 23:17:36"
2389,425,"株式会社ドコモＣＳ",66,272,"8-9","2016-11-08 23:17:37","2016-11-08 23:17:37"
2390,546,"イー・アクセス株式会社",69,209,"10-11","2016-11-08 23:17:37","2016-11-08 23:17:37"
2392,640,"ルネサスマイクロシステム株式会社",67,194,"9-10","2016-11-08 23:17:37","2016-11-08 23:17:37"
2393,771,"コニカミノルタ株式会社",69,234,"9-10","2016-11-08 23:17:37","2016-11-08 23:17:37"
2394,588,"関西電力株式会社",68,234,"9-10","2016-11-08 23:17:37","2016-11-08 23:17:37"
2395,375,"ＷＤＢ株式会社",71,227,"9-10","2016-11-08 23:17:37","2016-11-08 23:17:37"
2396,776,"伊藤忠商事株式会社",76,226,"9-10","2016-11-08 23:17:37","2016-11-08 23:17:37"
2397,630,"株式会社ＮＴＴデータ・スマートソーシング",68,225,"9-10","2016-11-08 23:17:37","2016-11-08 23:17:37"
2398,436,"MXモバイリング株式会社",67,219,"9-10","2016-11-08 23:17:39","2016-11-08 23:17:39"
2399,547,"NECシステムテクノロジー株式会社",62,217,"9-10","2016-11-08 23:17:39","2016-11-08 23:17:39"
2400,385,"株式会社アイフラッグ",70,214,"10-11","2016-11-08 23:17:39","2016-11-08 23:17:39"
2401,483,"株式会社マックスコム",69,197,"10-11","2016-11-08 23:17:39","2016-11-08 23:17:39"
2403,850,"グーグル株式会社",84,191,"8-9","2016-11-08 23:17:39","2016-11-08 23:17:39"
2404,913,"SAPジャパン株式会社",74,191,"10-11","2016-11-08 23:17:39","2016-11-08 23:17:39"
2405,380,"株式会社ＣＳＩ",54,191,"9-10","2016-11-08 23:17:39","2016-11-08 23:17:39"
2406,725,"グリー株式会社",71,188,"9-10","2016-11-08 23:17:39","2016-11-08 23:17:39"
2407,525,"ＮＥＣネッツエスアイ株式会社",63,182,"9-10","2016-11-08 23:17:39","2016-11-08 23:17:39"
2408,420,"ＧＭＯインターネット株式会社",74,180,"9-10","2016-11-08 23:17:40","2016-11-08 23:17:40"
2409,414,"コムテック株式会社",63,162,"9-10","2016-11-08 23:17:40","2016-11-08 23:17:40"
